Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Namespace,Categories,Count,Mean,Error,StdDev,StdErr,Min,Q1,Median,Q3,Max,Op/s,CI99.9% Margin,Iterations,Kurtosis,MValue,Skewness,Rank,LogicalGroup,Baseline,Exceptions,Gen0,Code Size,Completed Work Items,Lock Contentions,Allocated
'Write & Listen Async',Job-VVETEA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Core.BenchmarkTests.Collections.Threading,Async,16,"62,513.7 ns",419.43 ns,392.33 ns,101.30 ns,"61,815.3 ns","62,288.0 ns","62,459.8 ns","62,743.4 ns","63,309.9 ns","15,996.5",419.429 ns,15.00,2.402,2.000,0.4184,17,*,No,0.0000,0.0000,"2,180 B",0.0000,0.0000,3.98 KB
'Write & Listen Async',Job-VVETEA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Core.BenchmarkTests.Collections.Threading,Async,32,"121,480.8 ns",607.68 ns,568.43 ns,146.77 ns,"120,611.9 ns","121,066.1 ns","121,367.2 ns","121,739.8 ns","122,610.8 ns","8,231.8",607.685 ns,15.00,2.248,2.000,0.5090,22,*,No,0.0000,0.0000,"2,180 B",0.0000,0.0000,6.02 KB
'Write & Listen Async',Job-VVETEA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Core.BenchmarkTests.Collections.Threading,Async,64,"245,389.8 ns","1,170.61 ns","1,037.72 ns",277.34 ns,"243,429.6 ns","244,689.5 ns","245,393.1 ns","246,205.8 ns","247,072.5 ns","4,075.1","1,170.611 ns",14.00,1.799,2.000,-0.1353,25,*,No,0.0000,0.0000,"2,180 B",0.0000,0.0000,11.29 KB
'Write & Listen Async',Job-VVETEA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Core.BenchmarkTests.Collections.Threading,Async,128,"488,951.6 ns","1,788.91 ns","1,585.83 ns",423.83 ns,"487,007.2 ns","487,683.6 ns","488,766.2 ns","490,197.6 ns","492,311.8 ns","2,045.2","1,788.914 ns",14.00,2.071,2.000,0.4562,28,*,No,0.0000,0.0000,"2,180 B",0.0000,0.0000,21.38 KB
'Write & Listen Async',Job-VVETEA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Core.BenchmarkTests.Collections.Threading,Async,256,"971,473.6 ns","4,440.78 ns","4,153.91 ns","1,072.54 ns","964,263.8 ns","969,119.7 ns","971,748.9 ns","973,795.4 ns","978,683.1 ns","1,029.4","4,440.784 ns",15.00,2.105,2.000,0.0733,31,*,No,0.0000,0.0000,"2,178 B",0.0000,0.0000,41.49 KB
'Write & Listen Async',Job-VVETEA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Core.BenchmarkTests.Collections.Threading,Async,512,"1,940,004.2 ns","11,364.87 ns","10,630.71 ns","2,744.84 ns","1,921,699.4 ns","1,932,603.7 ns","1,940,024.0 ns","1,945,457.8 ns","1,959,868.6 ns",515.5,"11,364.871 ns",15.00,2.099,2.000,0.0648,34,*,No,0.0000,0.0000,"2,184 B",0.0000,0.0000,82.11 KB
'Write & Listen Async',Job-VVETEA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Core.BenchmarkTests.Collections.Threading,Async,1024,"3,842,683.8 ns","23,727.66 ns","22,194.87 ns","5,730.69 ns","3,808,628.9 ns","3,826,752.7 ns","3,844,272.7 ns","3,853,694.9 ns","3,879,830.5 ns",260.2,"23,727.661 ns",15.00,1.744,2.000,0.1677,35,*,No,0.0000,0.0000,"2,178 B",0.0000,0.0000,161.73 KB
'Write & Listen Async',Job-VVETEA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Core.BenchmarkTests.Collections.Threading,Async,2048,"7,786,869.9 ns","47,610.70 ns","44,535.08 ns","11,498.91 ns","7,689,348.4 ns","7,766,040.6 ns","7,793,214.1 ns","7,812,064.1 ns","7,857,879.7 ns",128.4,"47,610.704 ns",15.00,2.708,2.000,-0.3576,36,*,No,0.0000,0.0000,"2,178 B",0.0000,0.0000,321.92 KB
'Write & Read Async: IEnumerable',Job-VVETEA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Core.BenchmarkTests.Collections.Threading,Async,16,"13,532.7 ns",68.91 ns,64.46 ns,16.64 ns,"13,424.6 ns","13,494.8 ns","13,541.1 ns","13,574.4 ns","13,626.9 ns","73,894.8",68.910 ns,15.00,1.816,2.000,-0.1224,10,*,No,0.0000,0.0763,516 B,16.2922,0.0163,7.06 KB
'Write & Read Async: IEnumerable',Job-VVETEA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Core.BenchmarkTests.Collections.Threading,Async,32,"22,945.1 ns",122.34 ns,114.44 ns,29.55 ns,"22,796.0 ns","22,837.5 ns","22,932.6 ns","23,021.7 ns","23,192.9 ns","43,582.3",122.345 ns,15.00,2.134,2.000,0.4736,12,*,No,0.0000,0.1221,516 B,32.5735,0.0001,12.56 KB
'Write & Read Async: IEnumerable',Job-VVETEA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Core.BenchmarkTests.Collections.Threading,Async,64,"42,771.8 ns",184.21 ns,172.31 ns,44.49 ns,"42,518.7 ns","42,669.3 ns","42,752.8 ns","42,870.6 ns","43,064.3 ns","23,379.9",184.209 ns,15.00,1.898,2.000,0.2707,15,*,No,0.0000,0.2441,516 B,65.1295,0.0001,24.81 KB
'Write & Read Async: IEnumerable',Job-VVETEA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Core.BenchmarkTests.Collections.Threading,Async,128,"79,983.1 ns",311.65 ns,291.52 ns,75.27 ns,"79,486.6 ns","79,811.7 ns","80,037.4 ns","80,119.1 ns","80,419.6 ns","12,502.6",311.651 ns,15.00,1.856,2.000,-0.4172,19,*,No,0.0000,0.4883,516 B,130.0978,0.0001,49.01 KB
'Write & Read Async: IEnumerable',Job-VVETEA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Core.BenchmarkTests.Collections.Threading,Async,256,"159,339.9 ns",792.00 ns,740.84 ns,191.28 ns,"158,036.9 ns","159,006.1 ns","159,198.6 ns","159,860.5 ns","160,908.0 ns","6,275.9",792.001 ns,15.00,2.441,2.000,0.3338,23,*,No,0.0000,0.9766,516 B,259.3608,0.0000,97.14 KB
'Write & Read Async: IEnumerable',Job-VVETEA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Core.BenchmarkTests.Collections.Threading,Async,512,"317,961.3 ns","1,852.38 ns","1,732.71 ns",447.39 ns,"314,664.5 ns","316,703.4 ns","318,636.2 ns","319,269.7 ns","320,384.8 ns","3,145.0","1,852.377 ns",15.00,1.767,2.000,-0.4672,27,*,No,0.0000,1.9531,516 B,519.7236,0.0000,193.25 KB
'Write & Read Async: IEnumerable',Job-VVETEA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Core.BenchmarkTests.Collections.Threading,Async,1024,"609,514.9 ns","2,717.11 ns","2,408.65 ns",643.74 ns,"605,586.7 ns","607,553.2 ns","609,601.4 ns","611,477.1 ns","613,259.4 ns","1,640.6","2,717.108 ns",14.00,1.647,2.000,-0.1503,29,*,No,0.0000,3.9063,516 B,1039.8008,0.0000,385.43 KB
'Write & Read Async: IEnumerable',Job-VVETEA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Core.BenchmarkTests.Collections.Threading,Async,2048,"1,186,264.8 ns","4,020.58 ns","3,760.86 ns",971.05 ns,"1,180,795.8 ns","1,183,535.4 ns","1,186,846.0 ns","1,188,572.8 ns","1,193,176.9 ns",843.0,"4,020.585 ns",15.00,1.863,2.000,0.2640,32,*,No,0.0000,7.8125,516 B,2082.0234,0.0000,769.32 KB
'Write & Read Async',Job-VVETEA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Core.BenchmarkTests.Collections.Threading,Async,16,"14,234.4 ns",90.97 ns,80.64 ns,21.55 ns,"14,075.0 ns","14,181.5 ns","14,256.9 ns","14,289.9 ns","14,354.3 ns","70,252.4",90.966 ns,14.00,1.913,2.000,-0.4051,11,*,No,0.0000,0.0610,517 B,16.2885,0.0141,7.03 KB
'Write & Read Async',Job-VVETEA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Core.BenchmarkTests.Collections.Threading,Async,32,"23,193.8 ns",156.61 ns,146.49 ns,37.82 ns,"22,946.2 ns","23,067.0 ns","23,233.1 ns","23,283.4 ns","23,433.7 ns","43,114.9",156.607 ns,15.00,1.746,2.000,-0.1475,12,*,No,0.0000,0.1221,517 B,32.5479,0.0001,12.52 KB
'Write & Read Async',Job-VVETEA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Core.BenchmarkTests.Collections.Threading,Async,64,"43,079.1 ns",174.78 ns,163.49 ns,42.21 ns,"42,764.5 ns","42,967.7 ns","43,034.5 ns","43,219.7 ns","43,297.7 ns","23,213.1",174.782 ns,15.00,1.710,2.000,-0.2224,15,*,No,0.0000,0.2441,517 B,65.1088,0.0000,24.76 KB
